TimeCreated,EventId,LevelDisplayName,ProviderName,Computer,UserId,TaskDisplayName,Message,EventData
"2024-06-01 10:00:01",4624,Information,Microsoft-Windows-Security-Auditing,WEB01,S-1-0-0,Logon,Account logon,"SubjectDomainName=CONTOSO | SubjectUserName=SYSTEM | TargetDomainName=CONT | TargetUserName=alice | IpAddress=192.168.56.12 | LogonType=3 | WorkstationName=CLIENT01 | AuthenticationPackageName=NTLM | LogonProcessName=NtLmSsp"
"2024-06-01 10:05:00",4648,Information,Microsoft-Windows-Security-Auditing,WEB01,S-1-0-0,Credential,Explicit creds,"SubjectDomainName=CONTOSO | SubjectUserName=bob | TargetDomainName=CONTOSO | TargetUserName=Admin | TargetServerName=FILE01 | ProcessName=C:\Windows\System32\net.exe"
"2024-06-01 10:10:00",4769,Information,Microsoft-Windows-Security-Auditing,DC01,S-1-0-0,Kerberos,Service ticket,"TargetDomainName=CONTOSO | TargetUserName=alice | ServiceName=cifs/file01.contoso.local | TicketOptions=0x40810010"
"2024-06-01 10:15:00",4768,Information,Microsoft-Windows-Security-Auditing,DC01,S-1-0-0,Kerberos,TGT,"TargetDomainName=CONTOSO | TargetUserName=alice | ServiceName=krbtgt/CONTOSO | TicketOptions=0x40810010"
"2024-06-01 10:20:00",5140,Information,Microsoft-Windows-Security-Auditing,FILE01,S-1-0-0,Share,Share accessed,"SubjectDomainName=CONTOSO | SubjectUserName=alice | ShareName=\\*\IPC$ | ShareLocalPath=C:\ | IpAddress=192.168.56.12"
"2024-06-01 10:25:00",5145,Information,Microsoft-Windows-Security-Auditing,FILE01,S-1-0-0,Share,Object access,"SubjectDomainName=CONTOSO | SubjectUserName=alice | ShareName=DATA | ShareLocalPath=E:\Shares\Data | RelativeTargetName=report.xlsx | IpAddress=192.168.56.12 | IpPort=445"
"2024-06-01 10:30:00",7045,Information,Service Control Manager,WEB01,S-1-0-0,Service,Service installed,"ServiceName=ExampleSvc | ImagePath=C:\Windows\Service.exe | AccountName=LocalSystem"
"2024-06-01 10:35:00",4698,Information,Microsoft-Windows-Security-Auditing,WEB01,S-1-0-0,Task,Task created,"SubjectDomainName=CONTOSO | SubjectUserName=alice | TaskName=\Microsoft\Windows\RunOnce"
"2024-06-01 10:40:00",1149,Information,Microsoft-Windows-TerminalServices-RemoteConnectionManager,RDS01,S-1-0-0,RDP,User auth,"Param1=CONTOSO | Param2=alice | ClientAddress=203.0.113.7"
"2024-06-01 10:45:00",4776,Information,Microsoft-Windows-Security-Auditing,DC01,S-1-0-0,Validation,NTLM,"AccountName=alice | Workstation=CLIENT01 | Status=0x0"
